Archivaliensignatur,Datierung von(Zahl),Datierung bis(Zahl),Datierung (Text),Klassifikationsgruppe,Aktentitel,Enthält-Vermerk,Umfang der Akte (Blattzahl),Sortierfeld (intern)
F 00028,19370101,19491231,1937 - 1949,13.01 Firmen A,"Ackt, Peter, Buch-, Musikalien- & Kunsthandlung, Bürobedarf & Papierhandlung, Inhaber Martin Schacht, Elbing, später Cuxhaven",,29 Bl.,"Ackt, Peter"
F 00029,19370101,19491231,1937 - 1949,13.01 Firmen A,"Acquistapace, J. W., Buch-, Kunst-, Musik- & Lehrmittelhandlung, Verlag & Leihbücherei, Inhaber Fritz Eilers und Marie Meiners, Varel",,30 Bl.,"Acquistapace, J. W"
F 00030,19320101,19441231,1932 - 1944,13.01 Firmen A,"Aczel, Bertalan, Mitinhaber der Firma Testverek Aczel, Antiquariatshandel, Sortiment & Verlag, Budapest (Ungarn)",Enthält u. a.: Streichung der Mitgliedschaft aus dem Börsenverein.- Einstufung der Firma Testverek Aczel als jüdisches Unternehmen.,10 Bl.,"Aczel, Bertalan"
F 00031,19350101,19491231,1935 - 1949,13.01 Firmen A,"Adalbertus-Buchhandlung, Inhaber Werner Ewert, Danzig, später Tailfingen",,28 Bl.,Adalbertus-Buchhandlung
F 00032,19370101,19501231,1937 - 1950,13.01 Firmen A,"Adam, A., Buch- & Papierwarenhandlung, Inhaberin Magdalena Kamleiter, Garmisch",,12 Bl.,"Adam, A."
F 00033,19370101,19461231,1937 - 1946,13.01 Firmen A,"Adam's Buchhandlung, Max, Musikalien- & Papierhandlung, Antiquariat, Inhaber Hugo Rupprecht, Glatz",,6 Bl.,Adams Buchhandlung
F 00034,19310101,19371231,1931 - 1937,13.01 Firmen A,"Adams, Hans, Inhaber der Firma Hans Adams, Buchhandlung, Trier",Enthält u. a.: Aufhebung der Mitgliedschaft im Börsenverein aufgrund nicht gezahlter Mitgliedsbeiträge.,37 Bl.,"Adams, Hans"
F 00035,19290101,19461231,1929 - 1946,13.01 Firmen A,"Adasch, Max, Buch- & Papierhandlung, Antiquariat, Leihbibliothek, Liegnitz, später Breslau, später Pegau",,15 Bl.,"Adasch, Max"
F 00036,19370101,19491231,1937 - 1949,13.01 Firmen A,"Adelhoch, Max, Buch- & Zeitschriftenvertrieb-Leihbibliothek, Inhaber Rosina Hufer, und Max Voit, Regensburg",,14 Bl.,"Adelhoch, Max"
F 00037,19370101,19501231,1937 - 1950,13.01 Firmen A,"Aderholz, G. P., Buchhandlung, Inhaber Rudolf Jentsch, Breslau, Paderborn",,38 Bl.,"Aderholz, G. P."
F 00039,19370101,19441231,1937 - 1944,13.01 Firmen A,"Adler, Georg, Antiquriat, Buchhandlung & Leihbücherei, Inhaber Georg Adler, Graz (Österreich)",,34 Bl.,"Adler, Georg"
F 00040,19350101,19351231,1935,13.01 Firmen A,"Adler, C., Lithographische Kunstanstalt & Buchdruckerei GmbH, Geschäftsführer Walter Schnaufer, Hamburg",,4 Bl.,"Adler, C. "
F 00041,19370101,19491231,1937 - 1949,13.01 Firmen A,"Adler, Arno, Buchhandlung & Antiquariat, Inhaber Else und Arno Adler, Lübeck",,19 Bl.,"Adler, Arno"
F 00042,19370101,19381231,1937 - 1938,13.01 Firmen A,"Adler-Verlag GmbH, Geschäftsführer M. Bohlmann, Meißen",,10 Bl.,Adler-Verlag
F 00043,19370101,19471231,1937 - 1947,13.01 Firmen A,"Adlers Erben, Rats- & Universitätsbuchdruckerei und Verlagsanstalt, später GmbH, Inhaber Carl Boldt, Rostock",,16 Bl.,Adlers Erben
F 00044,19370101,19561231,1937 - 1956,13.01 Firmen A,"Adler, Rudolf, Inhaber der Firma Rudolf Adler Buchhandlung, Themar",,28 Bl.,"Adler, Rudolf"
F 00045,19360101,19411231,1936 - 1941,13.01 Firmen A,"Adolph, R. & J. Katzer, Buch- & Musikalienhandlung, Antiquariat, Inhaber Rudolf Adolph und Josef Katzer, Olmütz (Olomouc) ",,29 Bl.,"Adolph, R. & J. Katzer"
F 00046,19370101,19401231,1937 - 1940,13.01 Firmen A,"Adolph, Alfred, wlasc. E. Jojko i Ska., Buch-, Kunst-, Musik- & Papierhandlung, Inhaber Elisabeth Jojko und Maria Knosala, Tarnowitz (Tarnowskie Gory, Polen)",,20 Bl.,"Adolph, Alfred"
F 00047,19370101,19401231,1937 - 1940,13.01 Firmen A,"Advent-Verlag Ludwig & Co., vorher Advent-Verlag, Verlag- & Versandbuchhandlung, Inhaber Advent-Mission, Geschäftsführer F. A. Ludwig, Brünn (Brno)",,17 Bl.,Advent-Verlag Brünn
F 00048,19360101,19491231,1936 - 1949,13.01 Firmen A,"Advent-Verlag e.V., später Advent-Verlag Vollmer & Bentlin K.G., danach Vollmer & Bentlin K.G., Verlagsbuchhandlung, Gesellschafter Alfred Vollmer und Walter Bentlin, Hamburg",,24 Bl.,Advent-Verlag Hamburg
F 00049,19310101,19441231,1931 - 1944,13.01 Firmen A,"Aero-Revue, AG, Zeitungs- & Buchverlag, später Aero-Verlag A.G., Direktoren Oskar Bonomo und Erich Tilgenkamp, Oerlikon-Zürich (Schweiz)",,77 Bl.,Aero-Revue
F 00050,19370101,19491231,1937 - 1949,13.01 Firmen A,"Afa-Verlag Hans Dünnebeil, Musikverlag,später Afas-Musikverlag, Inhaber Hans Alfred Dünnebeil, Berlin",,16 Bl.,Afa-Verlag
F 00051,19370101,19471231,1937 - 1947,13.01 Firmen A,"Afrika-Verlag Dr. Wilhelm Winterer, Buchverlag, Inhaber Wilhelm Winterer, Freiburg (Breisgau)","Enthält u. a.: Stilllegung des Afrika-Verlages wegen Kriegseinsatz von Wilhelm Winterer, 1942.",14 Bl.,Afrika-Verlag
F 00052,19310101,19381231,1931 - 1938,13.01 Firmen A,"Agencia internacional de Libreria y Publicaciones J. Baumgarten, Buchhandlund und Zeitschriften-Vertrieb, Inhaber Juan Baumgarten, Mexico D. F. (Mexico)",,31 Bl.,Agencia internacional de Libreria y Publicaciones
F 00053,19370101,19461231,1937 - 1946,13.01 Firmen A,"""Agens"" Anzeigen- & Verlags-Gesellschaft mbH, später Agens-Verlag Inh. Hans Klein, Reisebuchhandlung & Verlag, Inhaber Hans Klein, Bonn",,13 Bl.,Agens-Verlag
F 00054,19370101,19501231,1937 - 1950,13.01 Firmen A,"Agentur des Rauhen Hauses GmbH, Verlag, Geschäftsführer Paul Germann, Hamburg",,30 Bl.,Agentur des Rauhen Hauses
F 00055,19370101,19391231,1937 - 1939,13.01 Firmen A,"Agros-Verlag Inhaberin Amanda Grossmann, Berlin-Charlottenburg",Enthält u. a.: Vorübergehende Stilllegung des Agros-Verlages 1938. -  Schließung des Agros-Verlages 1939,13 Bl.,Agros-Verlag
F 00056,19370101,19441231,1937 - 1944,13.01 Firmen A,"AGV-Verlag Dr. Richard Pape, Buch-& Korrespondenz-Verlag, Inhaber Lisbeth Jacobi, Berlin, später Heydebreck",Enthält u. a.: Ausschluss aus der Reichsschrifttumskammer wegen Verkauf illegaler Schriften.- Einspruch von Lisbeth Jacobi gegen die Entscheidung der Reichsschrifttumskammer.- Tod von Lisbeth Jacobi durch Angriff auf Berlin 1944.- Verlagerung des AVG-Verlages nach Heydebreck.- Stillegung des AGV-Verlages bis Kriegsende.,26 Bl.,AGV-Verlag
F 00057,19310101,19491231,1931 - 1949,13.01 Firmen A,"Ahlen, Gösta, Mitinhaber der Firma Ahlen & Söners Förlag, Verlag & Buchdruckerei, Stockholm (Schweden)",,45 Bl.,"Ahlen, Gösta"
F 00058,19130101,19371231,1913 - 1937,13.01 Firmen A,"Ahles, F., Reise- & Versandbuchhandlung, Inhaber Fritz Ahles, Neuenburg (Schweiz)",,18 Bl.,"Ahles, Fritz"
F 00060,19370101,19441231,1937 - 1944,13.01 Firmen A,"Ahn, Henriette, Kommanditistin der Firma Albert Ahn, Verlagsbuchhandlung KG, Gesellschafter Wolfram Ahn, Köln",,16 Bl.,"Ahn, Henriette"
F 00061,19370101,19481231,1937 - 1948,13.01 Firmen A,"Ahner, Georg, Inhaber der Firma Alwin Ahner, Buch- und Papierhandlung, später Alwin Ahner, Buch- und Papierhandlung, Inhaber Willi Stahn, Muskau",Enthält u. a.: Tod Georg Ahners 1940.- Streichung von Willi Stahn aus dem Adressbuch des Deutschen Buchhandels 1948.,17 Bl.,"Ahner, Georg"
F 00062,19340101,19431231,1934 - 1943,13.01 Firmen A,"Ahrend, N.V. Wed. J. & Zoon Technische Sortimentsbuchhandlung, Amsterdam (Niederlande)",,7 Bl.,"Ahrend, N.V. Wed. J."
F 00063,19370101,19491231,1937 - 1949,13.01 Firmen A,"Ahrenhold, Wilhelm, Buchhandlung, Eigentümer Wilhelm Ahrenhold, Wolfenbüttel",,9 Bl.,"Ahrenhold, Wilhelm"
F 00066,19370101,19511231,1937 - 1951,13.01 Firmen A,"Aibl-Verlag G.m.b.H., Jos., Musikverlag, Leipzig",,32 Bl. ,Aibl-Verlag
F 00067,19380101,19381231,1938,13.01 Firmen A,"Aichwalder, Max Franz, Firma, Wien (Österreich)","Enthält nur: Berichtigungsbogen für das Adressbuch des Deutschen Buchhandels 1939.- Vermerk über Streichung des nichtarischen Unternehmens aus dem Adressbuch des Deutschen Buchhandels, 1938.",3 Bl.,"Aichwalder, Max Franz"
F 00068,19320101,19491231,1932 - 1949,13.01 Firmen A,"Aigner, Hermann, und dessen Sohn Karl Aigner, Inhaber der Firma J. Aigner, Hofbuch- und Kunsthandlung, Ludwigsburg",,38 Bl.,"Aigner, Hermann"
F 00069,19370101,19441231,1937 - 1944,13.01 Firmen A,"Aigner, Heinrich, und dessen Tochter Josefine Aigner, Inhaberin der Firma Heinrich und Josefine Aigner, Buch-, Kunst-, Musikalien-, Instrumenten und Papierhandel, Melk an der Donau (Österreich)","Enthält u. a.: Todesanzeige Aigner, Heinrich, 1944.",24 Bl.,"Aigner, Heinrich"
F 00070,19370101,19411231,1937 - 1941,13.01 Firmen A,"Akademie der Wissenschaften der UdSSR, Leningrad (Sowjetunion)",,7 Bl.,Akademie der Wissenschaften der UdSSR
F 00071,19370101,19371231,1937,13.01 Firmen A,"Akademische Buchhandlung Friedrich Bocánek, Prag (Tschechien)",Enthält nur: Berichtigungsbogen für Adressbuch der Deutschen Buchhändler,2 Bl.,Akademische Buchhandlung Friedrich Bocánek
F 00072,19370101,19501231,1937 - 1950,13.01 Firmen A,"Akademische Buchhandlung G. Calvör, Inhaber Dr. Walter Richter, Göttingen",,14 Bl.,Akademische Buchhandlung G. Calvör
F 00073,19370101,19481231,1937 - 1948,13.01 Firmen A,"Akademische Buchhandlung Focken & Oltmanns, Inhaber Friedrich Bernhard Oltmanns, Dresden",,21 Bl.,Akademische Buchhandlung Focken & Oltmanns
F 00074,19370101,19371231,1937,13.01 Firmen A,"Akademische Buchhandlung Grote GmbH, Geschäftsführer Herbert Cram, Berlin",,8 Bl.,Akademische Buchhandlung Grote GmbH
F 00075,19340101,19491231,1934 - 1949,13.01 Firmen A,"Akademische Buchhandlung A. Haller & G. Schmidt, vormals Conrad Skopnik, Inhaber Georg Schmidt, Berlin",,23 Bl.,Akademische Buchhandlung A. Haller & G. Schmidt
F 00076,19370101,19431231,1937 - 1943,13.01 Firmen A,"Akademische Buchhandlung Carl Limbach, Geschäftsführer Carl Limbach, Bonn",,16 Bl.,Akademische Buchhandlung Carl Limbach
F 00078,19370101,19441231,1937 - 1944,13.01 Firmen A,"Akademische Buchhandlung Anny Meyer, Inhaberin Anny Meyer, Köln",,43 Bl.,Akademische Buchhandlung Anny Meyer
F 00079,19370101,19411231,1937 - 1941,13.01 Firmen A,"Akademische Buchhandlung Gertrud Rahn, Danzig-Langfuhr",,5 Bl.,Akademische Buchhandlung Gertrud Rahn
F 00080,19370101,19491231,1937 - 1949,13.01 Firmen A,"Akademische Buchhandlung Otto Rasch, Inhaber Otto Rasch, Marburg",,16 Bl.,Akademische Buchhandlung Otto Rasch
F 00081,19370101,19561231,1937 - 1956,13.01 Firmen A,"Akademische Buchhandlung Rassmann, Jena, ab 1956 Akademische Buchhandlung Volksbuchhandlung, Jena","Enthält u. a.: Lebenslauf von Walter Hirtz, geb. 23. Nov. 1924.",77 Bl.,Akademische Buchhandlung Rassmann
F 00082,19370101,19441231,1937 - 1944,13.01 Firmen A,"Akademische Buchhandlung Schubert & Seidel, Königsberg",,11 Bl.,Akademische Buchhandlung Schubert & Seidel
F 00083,19410101,19481231,1941 - 1948,13.01 Firmen A,"Akademische Buchhandlung (Richard Stettner), Inhaber Alfred Krüger, Tharandt","Enthält u. a.: Mitteilung des Rates des Kreises Freital an den Börsenverein über die ""Republikflucht"" von Alfred Krüger.",35 Bl.,Akademische Buchhandlung Richard Stettner
F 00084,19370101,19391231,1937 - 1939,13.01 Firmen A,"Akademische Buchhandlung A. Teller KG, Inhaber Adolf Keller, Hannover",Enthält u. a.:  Löschung des Eintrages im Adressbuch.,19 Bl. ,Akademische Buchhandlung A. Teller
F 00085,19460101,19461231,1946,13.01 Firmen A,"Akademische Verlagsgesellschaft Becker & Erler K.G., Leipzig",,3 Bl.,Akademische Verlagsgesellschaft Becker & Erler
F 00086,19360101,19401231,1936 - 1940,13.01 Firmen A,"Akademische Versand- und Verlagsbuchhandlung Emil Haim & Co., Wien (Österreich)",Enthält u. a.: Erlöschen der Firma,31 Bl. ,Akademische Versand- und Verlagsbuchhandlung Emil Haim
F 00088,19370101,19531231,"1937 - 1953, 1963",13.01 Firmen A,"Akademische Verlagsgesellschaft Athenaion Dr. Albert Hachfeld, Potsdam",,31 Bl.,Akademische Verlagsgesellschaft Athenaion
F 00089,19370101,19541231,1937 - 1954,13.01 Firmen A,"Akademischer Verlag Halle, Inhaber Eduard Klinz, Halle (Saale)",,21 Bl.,Akademischer Verlag Halle
F 00090,19300101,19401231,1930 - 1940,13.01 Firmen A,"Akademischer Verlag Dr. Fritz Wedekind & Co., Stuttgart","Enthält u. a.: Verlagsverzeichnis, 1930.",29 Bl.,Akademischer Verlag Dr. Fritz Wedekind
F 00092,19340101,19441231,1934 - 1944,13.01 Firmen A,"Akateeminen Kirjakauppa (Akademiska-Bokhandeln), Helsingfors  (Helsinki, Finnland)","Enthält u. a.: Aktennotiz über das durch einen Bombenanschlag zerstörte Warenhaus Stockmans, und die darin untergebrachte, nicht beschädigte Akateeminen Kirjakauppa (Akademische Buchhandlung); Helsinki, Finnland.",39 Bl.,Akateeminen Kirjakauppa
F 00093,19300101,19411231,1930 - 1941,13.01 Firmen A,"Akropolis-Verlag J. Joachim Breitenstein, Hannover",,17 Bl.,Akropolis-Verlag
F 00094,19370101,19421231,1937 - 1942,13.01 Firmen A,"Aktiendruckerei & Zeitungsverlag A.-G., Neustadt an der Weinstraße",Enthält u. a.: Erlöschen der Firma,17 Bl.,Aktiendruckerei und Zeitungsverlag Neustadt
F 00095,19370101,19481231,1937 - 1948,13.01 Firmen A,"Aktiengesellschaft für Druck und Verlag, Kassel, später Kurhessenland, Druck und Verlag GmbH, Kassel",,28 Bl.,Aktiengesellschaft für Druck und Verlag
F 00096,19370101,19431231,1937 - 1943,13.01 Firmen A,"Aktiengesellschaft Effingerhof, Buchdruckerei und Buchbinderei, Brugg (Schweiz)",,20 Bl.,Aktiengesellschaft Effingerhof
F 00097,19370101,19471231,1937 - 1947,13.01 Firmen A,"Aktiengesellschaft für hygienischen Lehrbedarf, Dresden",,9 Bl.,Aktiengesellschaft für hygienischen Lehrbedarf
F 00098,19370101,19491231,1937 - 1949,13.01 Firmen A,"A.-G. Neuenschwander'sche Buchdruckerei & Verlagsbuchhandlung, Verwaltungsrat Friedrich Wilhelm Neuenschwander, Weinfelden (Schweiz)",,13 Bl.,Aktiengesellschaft Neuenschwandersche Buchdruckerei
F 00099,19370101,19381231,1937 - 1938,13.01 Firmen A,"Alan Leo-Verlag Theobald Becher, Inhaber Theobald Becher, Leipzig","Enthält u. a.: Zahlungsaufforderung zum Mitgliedsbeitrag.- Mitteilung der Reichsschriftumskammer, Gruppe Buchhandel, Leipzig an der Börsenverein über polizeiliche Schließung des Verlages.",22 Bl.,Alan Leo-Verlag
F 00100,19290101,19441231,1929 - 1944,13.01 Firmen A,"Albachary, Jaqcues, Annoncen-Expedition GmbH, Berlin, später Annoncen-Expedition, Krämer & Gebauer KG, Berlin",,42 Bl.,"Albachary, Jaqcues"
F 00101,19350101,19521231,1935 - 1952,13.01 Firmen A,"Albatross-Verlag GmbH, Leipzig, Paris, Bologna","Enthält u. a.: Ausschnitt aus dem ""Wöchentlichen Verzeichnis der geschäftlichen Einrichtungen und Veränderungen"" über die Schließung der Zweiggeschäfte in Paris und Bologna, 21. Nov. 1940.",74 Bl.,Albatross-Verlag 
F 00102,19350101,19441231,1935 - 1944,13.01 Firmen A,"Alber, Friedrich, Verlag, Inhaberin Maria Alber, später Hilde Alber, Ravensburg",,13 Bl.,"Alber, Friedrich, Verlag"
F 00103,19370101,19491231,1937 - 1949,13.01 Firmen A,"Alberti's Hofbuchhandlung Bruno Clauss, Hanau ",,37 Bl.,Albertis Hofbuchhandlung
F 00104,19380101,19381231,1938,13.01 Firmen A,"Alberts, M., Boekhandel, Gulpen (Niederlande)",Enthält nur: Berichtigungsbogen für das Adressbuch des Deutschen Buchhandels.,2 Bl.,"Alberts, M."
F 00105,19430101,19431231,1943,13.01 Firmen A,"Alberts, Josef, Internationale Buchhandlung, Heerlen (Niederlande)",,6 Bl.,"Alberts, Josef"
F 00106,19370101,19371231,1937,13.01 Firmen A,"Alberts, Erven, N., Buchdruckerei, Buchbinderei & Verlagsanstalt, Kerkrade (Niederlande)",,4 Bl.,"Alberts, Erven, N."
F 00107,19370101,19421231,1937 - 1942,13.01 Firmen A,"Albertus-Magnus-Verlag der Dominikaner, Vechta","Enthält u. a.: Übernahme des Verlages durch den Albertus-Magnus-Verlag, Dr. Christian Scheeben KG; Köln, 1940.",31 Bl.,Albertus-Magnus-Verlag
F 00108,19370101,19371231,1937,13.01 Firmen A,"Albig, Hans, Verlag, Berlin",,5 Bl.,"Albig, Hans"
F 00109,19370101,19501231,1937 - 1950,13.01 Firmen A,"Albrecht & Co. Verlagsgesellschaft, Berlin",,7 Bl.,"Albrecht, E."
F 00110,19370101,19501231,1937 - 1950,13.01 Firmen A,"Albrecht, Hans, Buchdruckerei, Brilon ",,11 Bl.,"Albrecht, Hans"
F 00111,19370101,19391231,1937 - 1939,13.01 Firmen A,"Albrecht, Emil, Buch- & Papierhandel, Burgstädt",,9 Bl.,"Albrecht, Emil"
F 00112,19370101,19471231,1937 - 1947,13.01 Firmen A,"Albrecht´sche Hofbuchhandlung, Inhaber Albrecht, Amalie, und Albrecht, Carl, Coburg",,14 Bl.,"Albrecht, J. F."
F 00114,19300101,19471231,1930 - 1947,13.01 Firmen A,"Albrecht, Albert, Inhaber der Firma Papier- und Schreibwarenhandlung, Spezialhaus für Bürobedarf, Neu-Ulm",,33 Bl.,"Albrecht, Albert"
F 00115,19370101,19371231,"1937, 1943",13.01 Firmen A,"Schmidt, Lucile, vormals Felix Albrecht, Stolp ",,4 Bl.,"Schmidt, Lucile"
F 00116,19370101,19501231,1937 - 1950,13.01 Firmen A,"Albrechts Verlag, Inhaber Otto Albrecht, vormals Paul Albrechts Verlag Stolp ",,12 Bl.,Albrechts Verlag
F 00117,19370101,19491231,1937 - 1949,13.01 Firmen A,"Albrecht-Dürer-Haus, Gebrüder Laudahn, Berlin",,27 Bl.,Albrecht-Dürer-Haus Berlin
F 00118,19370101,19371231,"1937, 1948",13.01 Firmen A,"Albrecht-Dürer-Haus, Richard Korluss, Görlitz",,8 Bl.,Albrecht-Dürer-Haus Görlitz
F 00119,19370101,19481231,1937 - 1948,13.01 Firmen A,"Albrecht-Dürer-Haus, Inhaber Otto Kumme, Göttingen (Hauptgeschäft), Bad Sooden-Allendorf (Zweiggeschäft)",,10 Bl.,Albrecht-Dürer-Haus Göttingen
F 00120,19370101,19501231,1937 - 1950,13.01 Firmen A,"Alby´s Buchhandlung Nachf., Gregor Sprissler, vorher G. W. Visarius, Recklinghausen",,31 Bl.,"Alby, F."
F 00121,19360101,19411231,1936 - 1941,13.01 Firmen A,"Alder, Robert, Buchhandlung und Antiquariat, Bern (Schweiz)",,18 Bl.,"Alder, Robert"
F 00122,19370101,19421231,1937 - 1942,13.01 Firmen A,"Der Alemanne, Verlags- & Druckereigesellschaft mbH, Freiburg, später Ebnet, Zweigstellen in Emmendingen, Neustadt (im Schwarzwald), Lörrach, Säckingen und Waldshuth",,12 Bl.,"Alemanne, der, Verlags- & Druckereigesellschaft mbH"
F 00123,19370101,19481231,1937 - 1948,13.01 Firmen A,"Alemannen-Verlag Franz Senghans, Stuttgart, vormals Alemannen-Verlag innerhalb der Tübinger Chronik Buchdruckerei & Verlag GmbH, Tübingen",,50 Bl.,Alemannen-Verlag 
